"Plot Title: 10313906"
"#","Date Time, GMT-04:00","PAR, uE (LGR S/N: 10313906, SEN S/N: 10295363)","Temp, °C (LGR S/N: 10313906, SEN S/N: 10306354)","RH, % (LGR S/N: 10313906, SEN S/N: 10306354)","Max: PAR, uE (LGR S/N: 10313906)","Max: Temperature, °C (LGR S/N: 10313906)","Min: Temperature, °C (LGR S/N: 10313906)","Max: RH, % (LGR S/N: 10313906)","Min: RH, % (LGR S/N: 10313906)","Avg: Temperature, °C (LGR S/N: 10313906)","Avg: RH, % (LGR S/N: 10313906)","Avg: PAR, uE (LGR S/N: 10313906)"
1,04/27/15 12:00:00 AM,,,,11.2,23.785,20.246,38.000,28.900,23.149,32.373,
2,04/27/15 12:00:00 PM,,,,,,,,,,,3.8
3,04/27/15 12:06:24 PM,11.2,20.246,31.800,,,,,,,,
4,04/27/15 12:07:24 PM,1.2,20.269,31.800,,,,,,,,
5,04/27/15 12:08:24 PM,1.2,20.317,32.200,,,,,,,,
6,04/27/15 12:09:24 PM,1.2,20.365,32.200,,,,,,,,
7,04/27/15 12:10:24 PM,1.2,20.460,32.000,,,,,,,,
8,04/27/15 12:11:24 PM,3.7,20.531,32.000,,,,,,,,
9,04/27/15 12:12:24 PM,3.7,20.627,32.100,,,,,,,,
10,04/27/15 12:13:24 PM,8.7,20.698,32.000,,,,,,,,
11,04/27/15 12:14:24 PM,6.2,20.793,31.900,,,,,,,,
12,04/27/15 12:15:24 PM,6.2,20.865,31.600,,,,,,,,
13,04/27/15 12:16:24 PM,8.7,20.936,31.600,,,,,,,,
14,04/27/15 12:17:24 PM,3.7,20.984,31.500,,,,,,,,
15,04/27/15 12:18:24 PM,1.2,21.056,31.400,,,,,,,,
16,04/27/15 12:19:24 PM,3.7,21.079,31.300,,,,,,,,
17,04/27/15 12:20:24 PM,8.7,21.127,31.300,,,,,,,,
18,04/27/15 12:21:24 PM,6.2,21.151,31.200,,,,,,,,
19,04/27/15 12:22:24 PM,3.7,21.199,31.200,,,,,,,,
20,04/27/15 12:23:24 PM,6.2,21.223,31.100,,,,,,,,
21,04/27/15 12:24:24 PM,3.7,21.270,31.200,,,,,,,,
22,04/27/15 12:25:24 PM,1.2,21.318,31.200,,,,,,,,
23,04/27/15 12:26:24 PM,6.2,21.366,31.200,,,,,,,,
24,04/27/15 12:27:24 PM,3.7,21.413,31.100,,,,,,,,
25,04/27/15 12:28:24 PM,3.7,21.461,31.100,,,,,,,,
26,04/27/15 12:29:24 PM,3.7,21.509,31.100,,,,,,,,
27,04/27/15 12:30:24 PM,6.2,21.557,31.000,,,,,,,,
28,04/27/15 12:31:24 PM,6.2,21.581,31.000,,,,,,,,
29,04/27/15 12:32:24 PM,6.2,21.628,30.900,,,,,,,,
30,04/27/15 12:33:24 PM,8.7,21.676,30.800,,,,,,,,
31,04/27/15 12:34:24 PM,6.2,21.700,30.700,,,,,,,,
32,04/27/15 12:35:24 PM,8.7,21.724,30.400,,,,,,,,
33,04/27/15 12:36:24 PM,3.7,21.748,30.400,,,,,,,,
34,04/27/15 12:37:24 PM,6.2,21.748,30.400,,,,,,,,
35,04/27/15 12:38:24 PM,6.2,21.772,30.600,,,,,,,,
36,04/27/15 12:39:24 PM,8.7,21.795,30.500,,,,,,,,
37,04/27/15 12:40:24 PM,6.2,21.819,30.500,,,,,,,,
38,04/27/15 12:41:24 PM,1.2,21.843,30.500,,,,,,,,
39,04/27/15 12:42:24 PM,1.2,21.843,30.400,,,,,,,,
40,04/27/15 12:43:24 PM,1.2,21.843,30.200,,,,,,,,
41,04/27/15 12:44:24 PM,1.2,21.843,30.200,,,,,,,,
42,04/27/15 12:45:24 PM,1.2,21.843,30.100,,,,,,,,
43,04/27/15 12:46:24 PM,1.2,21.843,30.100,,,,,,,,
44,04/27/15 12:47:24 PM,1.2,21.843,30.100,,,,,,,,
45,04/27/15 12:48:24 PM,1.2,21.843,30.100,,,,,,,,
46,04/27/15 12:49:24 PM,1.2,21.843,30.100,,,,,,,,
47,04/27/15 12:50:24 PM,1.2,21.819,30.100,,,,,,,,
48,04/27/15 12:51:24 PM,1.2,21.819,30.100,,,,,,,,
49,04/27/15 12:52:24 PM,1.2,21.819,30.200,,,,,,,,
50,04/27/15 12:53:24 PM,1.2,21.819,30.100,,,,,,,,
51,04/27/15 12:54:24 PM,1.2,21.795,30.200,,,,,,,,
52,04/27/15 12:55:24 PM,1.2,21.795,30.200,,,,,,,,
53,04/27/15 12:56:24 PM,1.2,21.795,30.200,,,,,,,,
54,04/27/15 12:57:24 PM,1.2,21.772,30.200,,,,,,,,
55,04/27/15 12:58:24 PM,1.2,21.772,30.200,,,,,,,,
56,04/27/15 12:59:24 PM,1.2,21.772,30.200,,,,,,,,
57,04/27/15 01:00:00 PM,,,,,,,,,,,1.2
58,04/27/15 01:00:24 PM,1.2,21.772,30.200,,,,,,,,
59,04/27/15 01:01:24 PM,1.2,21.748,30.200,,,,,,,,
